date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2022 00:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 01:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 02:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 03:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 04:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 05:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 06:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 07:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 08:00,0.01,0,0.01,0.01,0,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01
01/01/2022 09:00,0.07,0.07,0.04,0.08,0.07,,,0.05,0.03,0.07,0.04,0.09,0.05,0.06
01/01/2022 10:00,0.23,0.29,0.12,0.28,0.26,,,0.26,0.17,0.3,0.1,0.29,0.16,0.32
01/01/2022 11:00,0.34,0.44,0.49,0.46,0.4,,,0.39,0.31,0.45,0.39,0.42,0.27,0.52
01/01/2022 12:00,0.41,0.53,0.61,0.57,0.51,,,0.47,0.34,0.54,0.47,0.49,0.35,0.63
01/01/2022 13:00,0.44,0.56,0.67,0.62,0.55,,,0.45,0.33,0.47,0.51,0.52,0.38,0.68
01/01/2022 14:00,0.42,0.54,0.68,0.59,0.55,,,0.33,0.33,0.59,0.5,0.5,0.39,0.67
01/01/2022 15:00,0.36,0.47,0.6,0.53,0.47,,,0.44,0.29,0.5,0.43,0.43,0.36,0.59
01/01/2022 16:00,0.25,0.32,0.25,0.4,0.35,,,0.32,0.08,0.37,0.28,0.31,0.28,0.43
01/01/2022 17:00,0.14,0.03,0.06,0.24,0.19,,,0.2,0.04,0.2,0.19,0.15,0.19,0.28
01/01/2022 18:00,0.02,0.01,0.02,0.05,0.02,,,0.04,0.01,0.05,0.05,0.02,0.04,0.07
01/01/2022 19:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 20:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 21:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 22:00,0,0,0,0,0,,,0,0,0,0,0,0,0
01/01/2022 23:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 00:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 01:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 02:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 03:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 04:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 05:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 06:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 07:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 08:00,0.01,0.01,0.01,,0,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02
02/01/2022 09:00,0.09,0.14,0.04,,0.12,,,0.12,0.1,0.11,0.13,0.13,0.07,0.16
02/01/2022 10:00,0.24,0.3,0.11,,0.28,,,0.27,0.21,0.3,0.27,0.3,0.17,0.35
02/01/2022 11:00,0.34,0.44,0.47,,0.42,,,0.39,0.31,0.45,0.4,0.43,0.27,0.52
02/01/2022 12:00,0.41,0.54,0.6,,0.51,,,0.48,0.36,0.55,0.49,0.51,0.35,0.63
02/01/2022 13:00,0.44,0.58,0.67,,0.55,,,0.47,0.36,0.47,0.52,0.54,0.4,0
02/01/2022 14:00,0.42,0.56,0.66,,0.53,,,0.33,0.34,0.57,0.51,0.52,0.4,0.68
02/01/2022 15:00,0.37,0.49,0.59,,0.46,,,0.45,0.3,0.49,0.45,0.45,0.36,0.61
02/01/2022 16:00,0.27,0.33,0.24,,0.35,,,0.34,0.07,0.36,0.34,0.33,0.29,0.47
02/01/2022 17:00,0.15,0.04,0.06,,0.18,,,0.2,0.02,0.19,0.2,0.18,0.18,0.29
02/01/2022 18:00,0.02,0.01,0.02,,0.01,,,0.05,0.01,0.04,0.05,0.02,0.05,0.08
02/01/2022 19:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 20:00,0,0,0,,0,,,0,0,0,0,0,0,0
02/01/2022 21:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 22:00,0,0,0,0,0,,,0,0,0,0,0,0,0
02/01/2022 23:00,0,0,0,0,0,,,0,0,0,0,0,0,0
03/01/2022 00:00,0,,0,0,0,,,0,,0,0,0,0,
03/01/2022 01:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 02:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 03:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 04:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 05:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 06:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 07:00,0,0,0,0,0,,,0,,0,0,0,0,
03/01/2022 08:00,0.01,0.01,0.01,0.01,0,,,0.01,,0.01,0.01,0.01,0.01,
03/01/2022 09:00,0.09,0.15,0.03,0.14,0.13,,,0.12,,0.11,0.13,0.14,0.06,
03/01/2022 10:00,0.24,0.31,0.11,0.29,0.28,,,0.27,,0.31,0.27,0.31,0.17,
03/01/2022 11:00,0.35,0.44,0.48,0.45,0.42,,,0.4,,0.46,0.4,0.44,0.27,
03/01/2022 12:00,0.42,0.54,0.61,0.55,0.51,,,0.49,,0.55,0.49,0.52,0.35,
03/01/2022 13:00,0.44,0.58,0.67,0.61,0.55,,,0.48,0.37,0.48,0.53,0.55,0.4,
03/01/2022 14:00,0.43,0.56,0.66,0.59,0.53,,,0.32,0.35,0.57,0.52,0.52,0.4,
03/01/2022 15:00,0.36,0.48,0.58,0.52,0.46,,,0.45,0.29,0.49,0.45,0.45,0.36,
03/01/2022 16:00,0.27,0.34,0.25,0.4,0.35,,,0.34,0.07,0.36,0.35,0.33,0.28,0.47
03/01/2022 17:00,0.15,0.03,0.05,0.23,0.18,,,0.19,0.02,0.19,0.2,0.19,0.18,0.29
03/01/2022 18:00,0.02,0.01,0.02,0.05,0.01,,,0.05,0.01,0.05,0.06,0.02,0.05,0.09
03/01/2022 19:00,0,0,0,0,0,,,0,0,0,0,0,0,0
03/01/2022 20:00,0,0,0,0,0,,,0,0,0,0,0,0,0
03/01/2022 21:00,0,0,0,0,0,,,0,0,0,0,0,0,0
03/01/2022 22:00,0,0,0,0,0,,,0,0,0,0,0,0,0
03/01/2022 23:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 00:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 01:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 02:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 03:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 04:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 05:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 06:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 07:00,0,0,0,0,0,,,0,0,0,0,0,0,0
04/01/2022 08:00,0.01,0.01,0.01,0.01,0,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01
04/01/2022 09:00,0.08,0.13,0.04,0.13,0.12,,,0.11,0.1,0.1,0.12,0.12,0.06,0.15
04/01/2022 10:00,0.22,0.28,0.11,0.29,0.27,,,0.25,0.21,0.29,0.26,0.28,0.16,0.33
04/01/2022 11:00,0.32,0.42,0.45,0.44,0.4,,,0.37,0.3,0.43,0.38,0.4,0.26,0.49
04/01/2022 12:00,0.39,0.51,0.58,0.54,0.49,,,0.45,0.33,0.53,0.46,0.48,0.33,0.61
