date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2022 00:00,5.875,5.133,6.488,8.688,5.367,3.895,4.51,5.025,5.208,4.896,4.967,3.838,6.996,6.452
01/01/2022 01:00,5.925,5.2,6.558,8.792,5.388,3.9,4.528,5.038,5.246,4.9,5.021,3.896,7.046,6.386
01/01/2022 02:00,6.025,5.304,6.571,8.996,5.408,3.935,4.558,5.058,5.329,4.896,5.075,3.942,7.163,6.357
01/01/2022 03:00,6.117,5.392,6.575,9.142,5.446,3.955,4.593,5.088,5.392,4.913,5.129,3.971,7.283,6.333
01/01/2022 04:00,6.179,5.446,6.567,9.238,5.521,3.91,4.581,5.104,5.454,4.913,5.162,3.983,7.379,6.324
01/01/2022 05:00,6.192,5.496,6.492,9.317,5.596,3.868,4.598,5.117,5.5,4.917,5.188,3.992,7.454,6.305
01/01/2022 06:00,6.2,5.542,6.388,9.396,5.671,3.822,4.618,5.196,5.521,4.908,5.2,3.992,7.492,6.271
01/01/2022 07:00,6.158,5.617,6.283,9.4,5.692,3.779,4.618,5.222,5.542,4.9,5.212,3.979,7.479,6.224
01/01/2022 08:00,6.088,5.642,6.221,9.4,5.704,3.822,4.589,5.278,5.558,4.913,5.313,3.954,7.483,6.176
01/01/2022 09:00,5.883,5.592,6.104,9.4,5.729,3.822,4.556,5.213,5.583,4.929,5.322,3.938,7.429,6.095
01/01/2022 10:00,5.646,5.517,5.992,9.25,5.604,3.778,4.51,5.113,5.529,4.925,5.326,3.896,7.437,5.905
01/01/2022 11:00,5.238,5.333,5.85,9.075,5.454,3.726,4.448,4.978,5.308,4.879,5.37,3.808,7.254,5.633
01/01/2022 12:00,4.804,5.071,5.404,8.888,5.354,3.678,4.339,4.904,5.154,4.829,5.313,3.8,6.996,5.433
01/01/2022 13:00,4.542,4.929,5.025,8.579,5.179,3.63,4.206,4.932,5.025,4.471,5.196,3.662,6.687,5.262
01/01/2022 14:00,4.367,4.829,4.875,8.321,4.925,3.517,4.102,4.805,4.883,4.308,5.039,3.592,6.571,5.176
01/01/2022 15:00,4.275,4.721,4.763,8.1,4.746,3.27,4.014,4.591,4.767,4.196,4.183,3.567,6.408,4.971
01/01/2022 16:00,4.208,4.646,4.658,7.813,4.588,3.145,3.948,4.443,4.317,4.058,3.977,3.55,6.308,4.695
01/01/2022 17:00,4.075,4.4,4.575,7.488,4.533,3.043,3.827,3.876,4.146,4.017,3.85,3.512,6.104,4.581
01/01/2022 18:00,4.017,4.317,4.508,7.171,4.496,2.97,3.702,3.662,4.096,3.983,3.814,3.462,5.996,4.495
01/01/2022 19:00,3.979,4.258,4.442,7.004,4.425,2.905,3.66,3.429,4.133,3.933,3.832,3.404,5.946,4.457
01/01/2022 20:00,3.954,4.571,4.392,6.95,4.371,2.88,3.652,3.167,4.154,3.879,3.841,3.354,5.929,4.395
01/01/2022 21:00,3.917,4.642,4.342,6.942,4.317,2.87,3.681,3.195,4.179,3.829,3.818,3.321,5.904,4.395
01/01/2022 22:00,3.913,4.671,4.358,7.025,4.325,2.9,3.743,3.238,4.171,3.771,3.782,3.296,5.883,4.413
01/01/2022 23:00,3.921,4.696,4.329,7.458,4.442,2.89,3.793,3.333,4.213,3.713,3.795,3.279,5.937,4.413
02/01/2022 00:00,3.95,4.721,4.338,7.629,4.508,2.89,3.913,3.357,4.221,3.654,3.805,3.246,5.954,4.417
02/01/2022 01:00,3.938,4.758,4.304,7.683,4.529,2.915,4.021,3.429,4.263,3.604,3.782,3.171,6,4.475
02/01/2022 02:00,3.963,4.8,4.363,7.525,4.55,2.89,4.088,3.49,4.488,3.563,3.773,3.117,5.979,4.583
02/01/2022 03:00,3.958,4.796,4.363,7.4,4.542,2.88,4.1,3.505,4.733,3.488,3.873,3.096,5.946,4.821
02/01/2022 04:00,3.946,4.779,4.363,7.352,4.471,2.865,4.096,3.476,4.796,3.442,3.945,3.117,5.846,4.858
02/01/2022 05:00,3.913,4.692,4.317,7.323,4.392,2.87,4.087,3.438,4.738,3.425,3.914,3.117,5.75,4.833
02/01/2022 06:00,3.858,4.612,4.292,7.276,4.317,2.88,4.083,3.382,4.679,3.433,3.882,3.112,5.683,4.808
02/01/2022 07:00,3.804,4.565,4.329,7.305,4.287,2.885,4.071,3.3,4.621,3.454,3.855,3.096,5.708,4.779
02/01/2022 08:00,3.758,4.491,4.342,7.342,4.283,2.876,4.083,3.195,4.546,3.492,3.8,3.079,5.658,4.738
02/01/2022 09:00,3.704,4.491,4.421,7.328,4.329,2.881,4.108,3.182,4.471,3.633,3.757,3.058,5.65,4.713
02/01/2022 10:00,3.667,4.53,4.608,,4.471,2.914,4.142,3.236,4.4,3.863,3.726,3.079,5.517,4.721
02/01/2022 11:00,3.762,4.609,4.746,,4.646,2.957,4.208,3.345,4.413,4.071,3.652,3.096,5.563,4.75
02/01/2022 12:00,3.854,4.67,4.758,,4.817,3.005,4.258,3.441,4.463,4.221,3.661,3.071,5.575,4.788
02/01/2022 13:00,3.929,4.743,4.783,,4.963,3.081,4.287,3.422,4.5,4.329,3.691,3.096,5.575,4.822
02/01/2022 14:00,3.954,4.783,4.75,,5.083,3.181,4.304,3.443,4.508,4.325,3.709,3.121,5.583,4.804
02/01/2022 15:00,3.979,4.83,4.738,,5.163,3.243,4.342,3.461,4.525,4.337,3.726,3.133,5.646,4.791
02/01/2022 16:00,4.021,4.87,4.804,,5.267,3.255,4.379,3.421,4.542,4.404,3.704,3.154,5.725,4.77
02/01/2022 17:00,4.071,4.926,4.871,,5.383,3.27,4.433,3.425,4.546,4.533,3.721,3.179,5.775,4.743
02/01/2022 18:00,4.1,5.057,4.917,,5.513,3.296,4.487,3.442,4.538,4.65,3.712,3.225,5.796,4.722
02/01/2022 19:00,4.15,5.196,4.975,,5.604,3.358,4.546,3.446,4.496,4.733,3.692,3.346,5.829,4.704
02/01/2022 20:00,4.187,5.139,5.042,,5.704,3.396,4.575,3.387,4.483,4.829,3.667,3.433,5.842,4.7
02/01/2022 21:00,4.2,5.265,5.138,,5.817,3.425,4.542,3.237,4.474,5.008,3.646,3.492,5.821,4.674
02/01/2022 22:00,4.179,5.257,5.163,,5.933,3.525,4.458,3.137,4.473,5.25,3.554,3.542,5.783,4.617
02/01/2022 23:00,4.167,5.165,5.183,,5.896,3.579,4.383,3.012,4.405,5.333,3.479,3.575,5.688,4.574
03/01/2022 00:00,4.108,5.074,5.154,,5.883,3.6,4.238,2.95,4.375,5.454,3.417,3.587,5.642,4.535
03/01/2022 01:00,4.058,4.943,5.067,,5.858,3.587,4.108,2.854,4.305,5.496,3.354,3.587,5.65,4.483
03/01/2022 02:00,3.912,4.778,4.892,,5.758,3.604,4.033,2.763,3.944,5.487,3.271,3.583,5.563,4.339
03/01/2022 03:00,3.808,4.683,4.767,,5.675,3.617,4.021,2.7,,5.492,3.139,3.558,5.554,4.061
03/01/2022 04:00,3.742,4.617,4.654,,5.629,3.633,4.033,2.738,,5.479,3.026,3.508,5.638,3.974
03/01/2022 05:00,3.737,4.617,4.6,,5.625,3.633,4.054,2.8,,5.446,3.022,3.488,5.742,3.957
03/01/2022 06:00,3.758,4.622,4.613,,5.663,3.646,4.05,2.854,,5.425,3.026,3.479,5.767,3.948
03/01/2022 07:00,3.792,4.6,4.573,,5.863,3.662,4.063,2.917,,5.408,3.03,3.479,5.725,3.961
03/01/2022 08:00,3.883,4.654,4.514,,6.008,3.696,4.078,3.004,,5.354,3.065,3.526,5.771,3.991
03/01/2022 09:00,3.896,4.717,4.405,,6.25,3.787,4.178,3.113,,5.187,3.083,3.526,5.958,4.065
03/01/2022 10:00,3.854,4.796,4.15,,6.213,3.862,4.322,3.15,,4.95,3.113,3.47,6.158,4.117
03/01/2022 11:00,3.737,5.063,4.018,,6.071,3.958,4.391,3.188,,4.717,3.061,3.37,6.429,4.304
03/01/2022 12:00,3.65,5.038,3.977,,5.938,4.033,4.543,3.213,,4.629,3.009,3.278,6.446,4.543
03/01/2022 13:00,3.579,4.988,4,,5.896,4.117,4.561,3.3,,4.646,2.965,3.213,6.421,4.629
03/01/2022 14:00,3.55,4.975,4.018,7.217,5.854,4.15,4.574,3.45,,4.658,2.95,3.161,6.413,4.617
03/01/2022 15:00,3.517,4.938,4.005,7.142,5.846,4.146,4.565,3.517,,4.683,2.927,3.126,6.439,4.608
03/01/2022 16:00,3.475,4.917,3.941,7.07,5.788,4.154,4.539,3.554,,4.671,2.95,3.078,6.361,4.613
03/01/2022 17:00,3.425,4.879,3.864,7.014,5.667,4.15,4.517,3.733,,4.579,3.445,3.03,6.304,4.592
03/01/2022 18:00,3.367,4.804,3.8,6.995,5.571,4.129,4.561,4.233,,4.479,3.85,2.965,6.27,4.554
03/01/2022 19:00,3.283,4.725,3.762,7.113,5.492,4.104,4.596,4.65,,4.4,3.936,2.83,6.3,4.521
03/01/2022 20:00,3.204,4.421,3.71,7.142,5.408,4.121,4.57,4.887,,4.375,4.018,2.735,6.274,4.508
03/01/2022 21:00,3.171,4.196,3.59,7.225,5.3,4.142,4.604,4.912,,4.217,4.068,2.67,6.27,4.5
03/01/2022 22:00,3.154,4.117,3.485,7.404,5.108,4.058,4.696,4.942,,3.983,4.086,2.618,6.261,4.508
03/01/2022 23:00,3.117,4.125,3.432,7.563,5.004,4.067,4.722,5.037,,3.887,4.095,2.577,6.248,4.525
04/01/2022 00:00,3.109,4.129,3.337,7.638,5.012,4.108,4.77,5.1,,3.792,4.095,2.559,6.204,4.533
04/01/2022 01:00,3.109,4.129,3.395,7.717,5.004,4.133,4.791,5.362,,3.825,4.105,2.55,6.078,4.533
04/01/2022 02:00,3.1,4.117,3.416,7.738,5.083,4.137,4.77,5.567,,3.862,4.123,2.545,6.1,4.533
04/01/2022 03:00,3.1,4.125,3.437,7.517,5.183,4.137,4.752,5.667,,3.912,4.1,2.545,6.017,4.533
04/01/2022 04:00,3.105,4.192,3.468,7.392,5.275,4.137,4.77,5.683,,4.004,4.122,2.55,6.104,4.542
04/01/2022 05:00,3.123,4.242,3.689,7.45,5.358,4.133,4.757,5.65,,4.1,4.135,2.564,6.191,4.554
04/01/2022 06:00,3.195,4.271,3.85,7.633,5.438,4.129,4.774,5.667,3.383,4.117,4.139,2.605,6.291,4.571
04/01/2022 07:00,3.409,4.292,3.929,7.912,5.525,4.133,4.796,5.75,3.453,4.108,4.152,2.686,6.404,4.583
04/01/2022 08:00,3.55,4.338,4.052,8.075,5.633,4.137,4.779,5.808,3.495,4.171,4.148,2.743,6.609,4.612
04/01/2022 09:00,3.732,4.438,4.352,8.225,5.587,4.125,4.792,5.787,3.61,4.379,4.183,2.848,6.596,4.621
04/01/2022 10:00,4.245,4.45,4.576,8.3,5.642,4.171,4.754,5.758,3.882,4.671,4.296,3.243,6.561,4.625
04/01/2022 11:00,4.673,4.213,4.714,8.142,5.7,4.35,4.825,5.696,4.03,4.908,4.478,3.617,6.37,4.592
04/01/2022 12:00,4.909,4.308,4.8,8.108,5.808,4.892,4.813,5.637,4.146,4.933,4.77,3.87,6.522,4.467
04/01/2022 13:00,5.109,4.454,5.033,8.217,5.842,5.096,5,5.558,4.3,4.921,4.991,4.026,6.891,4.479
04/01/2022 14:00,5.282,4.588,5.195,8.567,5.929,5.154,5.221,5.433,4.417,5.054,5.033,4.178,7,4.6
